,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
5,0.126943005,0.224093264,0.28238342,0.199481865,0.109455959,0.057642487,B2,10d,0.36826183,2074,1544,1
14,0.223300971,0.257820928,0.279395901,0.154261057,0.057173679,0.028047465,B3,10d,0.25412294,1227,927,1
23,0.510217321,0.284138826,0.133311709,0.057087253,0.0103795,0.004865391,L2.5,10d,0.04245684,3534,3083,2
37,0.112541376,0.219933799,0.25891872,0.224347186,0.109599117,0.074659801,P2.3,10d,0.24830508,3920,2719,2
46,0.206140351,0.271929825,0.324561404,0.131578947,0.039473684,0.026315789,P2.4,10d,0.23277803,280,228,2
53,0.342696629,0.21488764,0.248595506,0.115168539,0.050561798,0.028089888,S2,10d,0.1797034,861,712,1
63,0.26405868,0.268948655,0.2200489,0.15403423,0.06601467,0.026894866,S3,10d,0.25323276,510,409,2
70,0.12186898,0.19267823,0.28082852,0.22495183,0.11319846,0.06647399,UI,10d,0.42101823,6408,3010,1
83,0.121290323,0.209032258,0.300645161,0.198709677,0.130322581,0.04,W1.4,10d,0.13089005,1146,775,1
90,0.145721271,0.227383863,0.232273839,0.221026895,0.113447433,0.060146699,W2.6,10d,0.31820932,2779,2045,2
