,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
8,0.0,0.0,0.0,0.0,0.0,0.0,B2,12d,0.0,0,0,2
15,0.3728813559322034,0.1864406779661017,0.2033898305084746,0.1694915254237288,0.06779661016949153,0.0,B3,12d,0.05714285714285714,70,59,2
22,0.42616033755274263,0.2721518987341772,0.15822784810126583,0.0949367088607595,0.027426160337552744,0.02109704641350211,L2.5,12d,0.0035335689045936395,566,474,1
24,0.3650990099009901,0.34467821782178215,0.18564356435643564,0.07054455445544554,0.027227722772277228,0.006806930693069307,L2.5,12d,0.0055583628094997475,1979,1616,2
30,0.23190184049079754,0.28588957055214725,0.2331288343558282,0.1423312883435583,0.07730061349693251,0.029447852760736196,L2.8,12d,0.01606805293005671,1058,815,2
38,0.06840390879478828,0.1465798045602606,0.19218241042345277,0.2258414766558089,0.18892508143322476,0.1780673181324647,P2.3,12d,0.10740992522093813,1471,921,2
47,0.0,0.0,0.0,0.0,0.0,0.0,P2.4,12d,0.0,0,0,2
55,0.12794612794612795,0.21773288439955107,0.29180695847362514,0.2053872053872054,0.09988776655443322,0.05723905723905724,S2,12d,0.10015290519877676,1308,891,2
64,0.15034965034965034,0.26223776223776224,0.22727272727272727,0.14685314685314685,0.1048951048951049,0.10839160839160839,S3,12d,0.06053268765133172,413,286,2
78,0.15213358070500926,0.21150278293135436,0.28014842300556586,0.1725417439703154,0.11873840445269017,0.06493506493506493,W1.1,12d,0.1069182389937107,795,539,2
85,0.0,0.0,0.0,0.0,0.0,0.0,W1.4,12d,0.0,0,0,2
91,0.10526315789473684,0.17894736842105263,0.21052631578947367,0.17894736842105263,0.15263157894736842,0.1736842105263158,W2.6,12d,0.13725490196078433,306,190,2
