,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
1,0.459375,0.275,0.14375,0.078125,0.034375,0.009375,B2,2d,0.08333333,371,320,1
10,0.243975904,0.340361446,0.236445783,0.114457831,0.034638554,0.030120482,B3,2d,0.07775591,923,664,1
17,0.483432455,0.318606627,0.131690739,0.04757859,0.01104503,0.007646559,L2.5,2d,0.0212766,1434,1177,1
25,0.321721311,0.30942623,0.194672131,0.104508197,0.051229508,0.018442623,L2.8,2d,0.0426009,676,488,0
32,0.274731487,0.264556246,0.244205766,0.143583946,0.046919163,0.026003392,P2.3,2d,0.11362032,2231,1769,1
41,0.2043222,0.306483301,0.253438114,0.143418468,0.05697446,0.035363458,P2.4,2d,0.07150715,756,509,1
49,0.237735849,0.294339623,0.241509434,0.116981132,0.071698113,0.037735849,S2,2d,0.09265176,372,265,1
58,0.212927757,0.296577947,0.220532319,0.140684411,0.072243346,0.057034221,S3,2d,0.11111111,384,263,1
66,0.29761905,0.29047619,0.23888889,0.12380952,0.03888889,0.01031746,UI,2d,0.10757182,1957,1260,1
80,0.254587156,0.277522936,0.247706422,0.100917431,0.064220183,0.055045872,W1.4,2d,0.15177479,644,436,1
87,0.282157676,0.269709544,0.203319502,0.161825726,0.070539419,0.012448133,W2.6,2d,0.05511811,304,241,1
