,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
2,0.427086614,0.29007874,0.168503937,0.085669291,0.02015748,0.008503937,B2,4d,0.06246467,3773,3175,1
11,0.306220096,0.278879016,0.209842789,0.125768968,0.045796309,0.033492823,B3,4d,0.16028226,1982,1463,1
18,0.594385286,0.257018393,0.111326234,0.028557599,0.006776379,0.001936108,L2.5,4d,0.01349398,2344,2066,1
27,0.336547734,0.25168756,0.181292189,0.111861138,0.06268081,0.055930569,L2.8,4d,0.10760953,1350,1037,1
33,0.374384236,0.295566502,0.21182266,0.081773399,0.027586207,0.008866995,P2.3,4d,0.04676871,1225,1015,1
42,0.357846854,0.288097043,0.196360879,0.101592115,0.041698256,0.014404852,P2.4,4d,0.0699187,1555,1319,1
50,0.380635625,0.299334812,0.171470806,0.096082779,0.03917221,0.013303769,S2,4d,0.0660702,1637,1353,1
59,0.298546896,0.261558785,0.208718626,0.138705416,0.059445178,0.033025099,S3,4d,0.11957796,963,757,1
67,0.16742739,0.29377593,0.28609959,0.16493776,0.06431535,0.02344398,UI,4d,0.218139,8565,4820,1
74,0.281729428,0.278940028,0.234309623,0.135285914,0.052998605,0.016736402,W1.1,4d,0.1097561,892,717,1
88,0.201177625,0.246319921,0.231599607,0.163886163,0.085377821,0.071638862,W2.6,4d,0.15303244,1488,1019,1
