,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
3,0.454349389,0.213515457,0.175772825,0.102803738,0.040258807,0.013299784,B2,6d,0.15239411,3333,2782,1
12,0.336025848,0.261712439,0.198707593,0.119547658,0.048465267,0.035541195,B3,6d,0.1369606,759,619,1
19,0.552344602,0.241003272,0.132497274,0.050708833,0.014176663,0.009269357,L2.5,6d,0.02154882,2123,1834,1
28,0.44359673,0.31880109,0.149318801,0.058855586,0.019618529,0.009809264,L2.8,6d,0.03244997,2184,1835,1
34,0.334080717,0.242152466,0.230941704,0.123318386,0.047085202,0.022421525,P2.3,6d,0.017657993,1076,892,1
43,0.355015674,0.286050157,0.20846395,0.097178683,0.035266458,0.018025078,P2.4,6d,0.10540396,1581,1276,1
51,0.22417786,0.246410375,0.246873553,0.150532654,0.079203335,0.052802223,S2,6d,0.13175193,2896,2159,1
60,0.373125375,0.283743251,0.191361728,0.100179964,0.038392322,0.013197361,S3,6d,0.0973545,1972,1667,1
68,0.18019093,0.26690533,0.27486078,0.1646778,0.07358791,0.03977725,UI,6d,0.23804156,4607,2514,1
82,0.307555027,0.272456871,0.223676383,0.126710291,0.04759072,0.022010708,W1.4,6d,0.14915966,2153,1681,1
75,0.297482838,0.226544622,0.244851259,0.171624714,0.038901602,0.020594966,W1.1,6d,0.111524165,538,437,1
