,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
4,0.21010425,0.266238974,0.224538893,0.165998396,0.087409783,0.045709703,B2,8d,0.215821152,1722,1247,1
13,0.208333333,0.227564103,0.243589744,0.166666667,0.108974359,0.044871795,B3,8d,0.201612903,436,312,1
20,0.445361411,0.31303358,0.153386454,0.060614684,0.018497439,0.009106431,L2.5,8d,0.040333073,4215,3514,1
29,0.446996466,0.247349823,0.16254417,0.086572438,0.04770318,0.008833922,L2.8,8d,0.072815534,647,566,1
35,0.206703911,0.244134078,0.227374302,0.179888268,0.096089385,0.045810056,P2.3,8d,0.206088993,2344,1790,1
52,0,0,0,0,0,0,S2,8d,0.198052936,0,0,1
61,0.291316527,0.218487395,0.215686275,0.18767507,0.050420168,0.036414566,S3,8d,0.218867925,470,357,1
69,0.189701,0.2448505,0.27109635,0.18372093,0.07707641,0.03355482,UI,8d,0.38591994,6408,3010,1
76,0.178514377,0.283146965,0.251597444,0.177715655,0.076677316,0.032348243,W1.4,8d,0.181910569,3266,2504,1
