,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
6,0.0,0.0,0.0,0.0,0.0,0.0,B2,14d,0.0,0,0,1
39,0.07905460472697637,0.19396903015484923,0.2705786471067645,0.24123879380603097,0.12876935615321924,0.08638956805215973,P2.3,14d,0.14256825075834176,1978,1227,2
45,0.2,0.0,0.6,0.0,0.2,0.0,P2.4,14d,0.0,5,5,1
56,0.2038664323374341,0.2646748681898067,0.2685413005272408,0.17012302284710018,0.06045694200351494,0.03233743409490334,S2,14d,0.10152538134533634,3999,2845,2
71,0.2111650485436893,0.24514563106796117,0.25970873786407767,0.18446601941747573,0.06553398058252427,0.03398058252427184,UI,14d,0.045714285714285714,525,412,1
