,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
1,0.459375,0.275,0.14375,0.078125,0.034375,0.009375,B2,2d,0.008086253369272238,371,320,1
10,0.24397590361445784,0.34036144578313254,0.23644578313253012,0.1144578313253012,0.03463855421686747,0.030120481927710843,B3,2d,0.0065005417118093175,923,664,1
17,0.48343245539507224,0.318606627017842,0.13169073916737467,0.0475785896346644,0.011045029736618521,0.0076465590484282074,L2.5,2d,0.005578800557880056,1434,1177,1
25,0.32172131147540983,0.3094262295081967,0.19467213114754098,0.10450819672131148,0.05122950819672131,0.018442622950819672,L2.8,2d,0.0029585798816568047,676,488,0
32,0.27473148671565856,0.2645562464669305,0.24420576596947427,0.143583945732052,0.046919163369135104,0.026003391746749576,P2.3,2d,0.012998655311519497,2231,1769,1
41,0.2043222003929273,0.30648330058939094,0.25343811394891946,0.14341846758349705,0.05697445972495088,0.03536345776031434,P2.4,2d,0.010582010582010581,756,509,1
49,0.23773584905660378,0.2943396226415094,0.24150943396226415,0.1169811320754717,0.07169811320754717,0.03773584905660377,S2,2d,0.008064516129032258,372,265,1
58,0.21292775665399238,0.2965779467680608,0.22053231939163498,0.14068441064638784,0.07224334600760456,0.057034220532319393,S3,2d,0.005208333333333333,384,263,1
66,0.32989690721649484,0.26804123711340205,0.23711340206185566,0.0979381443298969,0.05670103092783505,0.010309278350515464,UI,2d,0.004273504273504274,234,194,1
73,0.5432,0.2488,0.1416,0.0536,0.0104,0.0024,W1.1,2d,0.006364922206506365,1414,1250,1
80,0.2545871559633027,0.2775229357798165,0.24770642201834864,0.10091743119266056,0.06422018348623854,0.05504587155963303,W1.4,2d,0.020186335403726708,644,436,1
87,0.2821576763485477,0.2697095435684647,0.2033195020746888,0.16182572614107885,0.07053941908713693,0.012448132780082987,W2.6,2d,0.003289473684210526,304,241,1
