,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
4,0.21010425020048115,0.26623897353648757,0.22453889334402566,0.16599839615076184,0.08740978348035285,0.04570970328789094,B2,8d,0.033101045296167246,1722,1247,1
13,0.20833333333333334,0.22756410256410256,0.24358974358974358,0.16666666666666666,0.10897435897435898,0.04487179487179487,B3,8d,0.03211009174311927,436,312,1
20,0.44536141149686964,0.3130335799658509,0.15338645418326693,0.06061468412066021,0.018497438816163916,0.00910643141718839,L2.5,8d,0.004270462633451958,4215,3514,1
29,0.4469964664310954,0.24734982332155478,0.1625441696113074,0.08657243816254417,0.04770318021201413,0.0088339222614841,L2.8,8d,0.00463678516228748,647,566,1
35,0.20670391061452514,0.2441340782122905,0.22737430167597766,0.17988826815642459,0.09608938547486033,0.04581005586592179,P2.3,8d,0.030716723549488054,2344,1790,1
52,0.0,0.0,0.0,0.0,0.0,0.0,S2,8d,0.0,0,0,1
61,0.2913165266106443,0.2184873949579832,0.21568627450980393,0.1876750700280112,0.05042016806722689,0.036414565826330535,S3,8d,0.03404255319148936,470,357,1
69,0.31079717457114026,0.2522704339051463,0.19071644803229063,0.1442986881937437,0.060544904137235116,0.04137235116044399,UI,8d,0.045746388443017656,1246,991,1
76,0.1785143769968051,0.28314696485623003,0.2515974440894569,0.17771565495207667,0.07667731629392971,0.032348242811501594,W1.1,8d,0.014084507042253521,3266,2504,1
