clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,1,0.459375,0.275,0.14375,0.078125,0.034375,0.009375,2d,0.08333333,371,320,1,0.012956400913207032,0.010376522859233593,0.07712347714076642,0.6838
B3,10,0.243975904,0.340361446,0.23644578300000002,0.114457831,0.034638554,0.030120482,2d,0.07775591,923,664,1,0.011328893416623438,0.03557774036067912,0.09394033163932089,0.1534
L2.5,17,0.483432455,0.318606627,0.131690739,0.04757859,0.01104503,0.007646559,2d,0.0212766,1434,1177,1,0.0072605019572257005,-1.0224699896105999e-05,0.037393402699896106,0.0
L2.8,25,0.321721311,0.30942623,0.19467213100000003,0.104508197,0.051229508,0.018442623000000002,2d,0.042600900000000004,676,488,0,0.013036665105437493,0.03609190700086068,0.10325235499913932,0.092
P2.3,32,0.274731487,0.264556246,0.24420576600000002,0.143583946,0.046919163,0.026003392,2d,0.11362032,2231,1769,1,0.008680290606857786,0.05056360809153544,0.09528150190846456,0.0081
P2.4,41,0.2043222,0.30648330100000004,0.253438114,0.14341846800000002,0.05697446,0.035363458,2d,0.07150715,756,509,1,0.01420529495672024,0.055747502984924584,0.1289283330150754,0.0006
S2,49,0.23773584899999997,0.294339623,0.241509434,0.11698113199999999,0.071698113,0.037735849,2d,0.09265176,372,265,1,0.020122069949045984,0.057602944577186614,0.16126497942281337,0.0002
S3,58,0.212927757,0.296577947,0.22053231899999998,0.140684411,0.072243346,0.057034220999999996,2d,0.11111111,384,263,1,0.02156697375819501,0.07372472400477112,0.18483040999522884,0.0
UI,66,0.29761905,0.29047619,0.23888889,0.12380952,0.03888889,0.01031746,2d,0.10757182,1957,1260,1,,,,
W1.1,73,0.5432,0.2488,0.1416,0.0536,0.0104,0.0024,2d,0.05320033,1414,1250,1,0.006873132323493561,-0.004904015646023857,0.030504015646023855,0.0
W1.4,80,0.25458715600000004,0.277522936,0.24770642199999998,0.100917431,0.064220183,0.055045872,2d,0.15177479,644,436,1,0.016674899269116743,0.07631436082888296,0.16221774917111706,0.0
W2.6,87,0.282157676,0.26970954399999997,0.20331950199999999,0.161825726,0.070539419,0.012448133,2d,0.05511811,304,241,1,0.018785665279419578,0.03459888488660991,0.1313762191133901,0.0345
