clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,2,0.427086614,0.29007874,0.168503937,0.085669291,0.02015748,0.008503937,4d,0.06246467,3773,3175,1,0.01074436161256019,0.6894897125104416,0.7448409954895585,0.0
B3,11,0.306220096,0.27887901600000004,0.20984278899999997,0.125768968,0.045796309,0.033492823,4d,0.16028226,1982,1463,1,0.014747429782373271,0.5471122502145331,0.6230859737854668,0.0
L2.5,18,0.5943852860000001,0.257018393,0.11132623400000001,0.028557599,0.006776379,0.001936108,4d,0.01349398,2344,2066,1,0.0106203507759642,0.8240474682573032,0.878759889742697,0.0
L2.8,27,0.336547734,0.25168756,0.181292189,0.11186113800000001,0.06268081,0.055930569000000006,4d,0.10760953,1350,1037,1,0.01688571281130407,0.5447405801293319,0.631730007870668,0.0
P2.3,33,0.37438423600000004,0.295566502,0.21182266,0.08177339900000001,0.027586207,0.008866995,4d,0.04676871,1225,1015,1,0.01641352956850477,0.6276722875627792,0.7122291884372209,0.0
P2.4,42,0.357846854,0.288097043,0.196360879,0.101592115,0.041698256,0.014404852,4d,0.0699187,1555,1319,1,0.014998138541436744,0.607311252246281,0.684576541753719,0.0
S2,50,0.380635625,0.299334812,0.171470806,0.09608277900000001,0.03917221,0.013303768999999998,4d,0.0660702,1637,1353,1,0.014573626756987059,0.6424312621403683,0.7175096118596316,0.0
S3,59,0.298546896,0.261558785,0.20871862600000002,0.138705416,0.059445178,0.033025099,4d,0.11957796,963,757,1,0.01941735179022346,0.5100898972614247,0.6101214647385753,0.0
UI,67,0.16742739,0.29377593,0.28609959,0.16493776,0.06431535,0.02344398,4d,0.218139,8565,4820,1,,,,
W1.1,74,0.281729428,0.278940028,0.234309623,0.135285914,0.052998605,0.016736402,4d,0.10975610000000001,892,717,1,0.019877031666492333,0.5094696153658796,0.6118692966341205,0.0
W1.4,81,0.462068966,0.21149425300000002,0.19080459800000002,0.068965517,0.045977011,0.020689655,4d,0.1035503,521,435,1,0.023601198514567212,0.612770560267303,0.7343558777326971,0.0
W2.6,88,0.201177625,0.24631992100000002,0.23159960699999999,0.163886163,0.08537782099999999,0.071638862,4d,0.15303244,1488,1019,1,0.017151921118720572,0.4033171249702403,0.49167796702975974,0.425
