clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,0,0.300541516,0.322202166,0.22924187699999998,0.114620939,0.022563177,0.010830325,0d,0.011355035,1321,1108,1,0.008868715933087445,-0.011489263385297675,0.034199333385297674,0.0
B3,9,0.42338709700000005,0.262096774,0.18548387100000002,0.10080645199999999,0.02016129,0.008064515999999999,0d,0.05855856,311,248,1,0.015729623939095043,0.0180417337238747,0.0990753862761253,0.4851
L2.5,16,0.456928839,0.31835206,0.14232209699999998,0.063670412,0.011235955,0.007490637,0d,0.03658537,324,267,1,0.013376943197834865,0.0021286477191078124,0.07104209228089219,0.0309
L2.8,26,0.6196078429999999,0.22352941199999998,0.098039216,0.035294118,0.015686275,0.007843137,0d,0.06060606,299,255,1,0.01614209392577518,0.019026781445349583,0.10218533855465042,0.5737
P2.3,31,0.303571429,0.294642857,0.16964285699999998,0.16071428599999998,0.035714286,0.035714286,0d,0.15217391,137,112,1,0.03181015480355045,0.07023638110658792,0.23411143889341207,0.001
P2.4,40,0.39722864,0.32101617,0.19861432,0.05773672,0.02078522,0.00461894,0d,0.09515571,578,433,1,0.014802695119251915,0.05702649414033063,0.1332849258596694,0.0796
S2,48,0.266055046,0.293577982,0.235474006,0.122324159,0.064220183,0.018348623999999997,0d,0.08839779,407,327,1,0.016375289145408423,0.04621784036517075,0.13057773963482927,0.2419
S3,57,0.326370757,0.349869452,0.182767624,0.083550914,0.046997389,0.010443864,0d,0.07535121,446,383,1,0.01504574151331978,0.03659594811636872,0.11410647188363128,0.7192
UI,65,0.55686275,0.23137255,0.13856209,0.05620915,0.01699346,0.0,0d,0.07000548,928,385,1,,,,
W1.1,72,0.38360175700000004,0.303074671,0.199121523,0.079062958,0.026354318999999998,0.008784773000000001,0d,0.05710491,832,683,1,0.011613449686745882,0.027190645981589157,0.08701917401841085,0.2693
W1.4,79,0.591397849,0.188172043,0.155913978,0.037634409,0.016129031999999998,0.010752688,0d,0.06802721,207,186,1,0.01940190094526278,0.018051225000639014,0.11800319499936099,0.9195
W2.6,86,0.231053604,0.29574861399999997,0.271719039,0.12199630300000001,0.06284658,0.01663586,0d,0.13671875,687,541,1,0.015554939236788756,0.09665188169895694,0.17678561830104306,0.0
