clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,4,0.21010425,0.26623897399999996,0.22453889300000002,0.165998396,0.087409783,0.045709703,8d,0.215821152,1722,1247,1,0.01163035878089836,0.18586333304137473,0.24577897095862525,0.0
B3,13,0.208333333,0.22756410300000002,0.243589744,0.166666667,0.108974359,0.044871795,8d,0.201612903,436,312,1,0.02015363230476108,0.14970058633644664,0.25352521966355335,0.0
L2.5,20,0.44536141100000004,0.31303358,0.153386454,0.060614684,0.018497438999999997,0.009106431,8d,0.040333073,4215,3514,1,0.0067945409368003985,0.02283149535082693,0.057834650649173064,0.0
L2.8,29,0.44699646600000004,0.247349823,0.16254417,0.086572438,0.04770318,0.008833922,8d,0.072815534,647,566,1,0.011888280782617108,0.042193351991317594,0.1034377160086824,0.0
P2.3,35,0.20670391100000002,0.244134078,0.227374302,0.17988826800000002,0.096089385,0.045810055999999995,8d,0.206088993,2344,1790,1,0.010333681708586524,0.17947119284147556,0.23270679315852444,0.0
S2,52,0.0,0.0,0.0,0.0,0.0,0.0,8d,0.198052936,0,0,1,,,,
S3,61,0.291316527,0.218487395,0.215686275,0.18767507,0.050420168,0.036414566,8d,0.218867925,470,357,1,0.020018431362959766,0.16730386288420587,0.27043198711579414,0.0
UI,69,0.189701,0.2448505,0.27109635,0.18372093,0.07707641,0.03355482,8d,0.38591994,6408,3010,1,,,,
W1.1,76,0.178514377,0.283146965,0.251597444,0.177715655,0.076677316,0.032348243,8d,0.181910569,3266,2504,1,0.009085646052186182,0.15850749565710545,0.20531364234289454,0.0
