clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,0,0.300541516,0.322202166,0.22924187699999998,0.114620939,0.022563177,0.010830325,0d,0.011355035,1321,1108,1,0.008515920006941286,0.011457945699442276,0.05532905830055772,0.0995
B3,9,0.42338709700000005,0.262096774,0.18548387100000002,0.10080645199999999,0.02016129,0.008064515999999999,0d,0.05855856,311,248,1,0.012409272127652953,-0.003738360782121093,0.06018997278212109,0.3404
L2.5,16,0.456928839,0.31835206,0.14232209699999998,0.063670412,0.011235955,0.007490637,0d,0.03658537,324,267,1,0.010593035732678675,-0.008559259853774332,0.04601244385377433,0.8689
L2.8,26,0.6196078429999999,0.22352941199999998,0.098039216,0.035294118,0.015686275,0.007843137,0d,0.06060606,299,255,1,0.011553781998069045,-0.0062311582374420145,0.05328998223744201,0.5592
P2.3,31,0.303571429,0.294642857,0.16964285699999998,0.16071428599999998,0.035714286,0.035714286,0d,0.15217391,137,112,1,0.025210909459864594,0.006489572644162583,0.1363675713558374,0.0026
P2.4,40,0.39722864,0.32101617,0.19861432,0.05773672,0.02078522,0.00461894,0d,0.09515571,578,433,1,0.010028381510108679,-0.0004272389609059103,0.05123555896090591,0.4072
S2,48,0.266055046,0.293577982,0.235474006,0.122324159,0.064220183,0.018348623999999997,0d,0.08839779,407,327,1,0.01658444537484526,0.03985010662036754,0.12528750737963246,0.0
S3,57,0.326370757,0.349869452,0.182767624,0.083550914,0.046997389,0.010443864,0d,0.07535121,446,383,1,0.013592316617107063,0.02242976555454096,0.09245274044545904,0.003
UI,65,0.55686275,0.23137255,0.13856209,0.05620915,0.01699346,0.0,0d,0.07000548,928,385,1,,,,
W1.1,72,0.38360175700000004,0.303074671,0.199121523,0.079062958,0.026354318999999998,0.008784773000000001,0d,0.05710491,832,683,1,0.009645159501213666,0.010294807519370733,0.059983376480629264,0.0876
W1.4,79,0.591397849,0.188172043,0.155913978,0.037634409,0.016129031999999998,0.010752688,0d,0.06802721,207,186,1,0.013565731490924621,-0.008061288698399761,0.06182472869839976,0.4314
W2.6,86,0.231053604,0.29574861399999997,0.271719039,0.12199630300000001,0.06284658,0.01663586,0d,0.13671875,687,541,1,0.01336521781417783,0.04505592030592696,0.11390895969407305,0.0
