clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,1,0.459375,0.275,0.14375,0.078125,0.034375,0.009375,2d,0.08333333,371,320,1,0.01596730099971823,0.04220428818634012,0.12446237181365988,0.1603
B3,10,0.243975904,0.340361446,0.23644578300000002,0.114457831,0.034638554,0.030120482,2d,0.07775591,923,664,1,0.011258195629683332,0.0487567197919755,0.10675510020802449,0.012
L2.5,17,0.483432455,0.318606627,0.131690739,0.04757859,0.01104503,0.007646559,2d,0.0212766,1434,1177,1,0.007973474221263228,0.0007382914497784249,0.041814908550221574,0.0
L2.8,25,0.321721311,0.30942623,0.19467213100000003,0.104508197,0.051229508,0.018442623000000002,2d,0.042600900000000004,676,488,0,0.010458926897441679,0.01566048961389394,0.06954131038610607,0.0
P2.3,32,0.274731487,0.264556246,0.24420576600000002,0.143583946,0.046919163,0.026003392,2d,0.11362032,2231,1769,1,0.009705475976196542,0.08862067057562306,0.13861996942437693,0.5338
P2.4,41,0.2043222,0.30648330100000004,0.253438114,0.14341846800000002,0.05697446,0.035363458,2d,0.07150715,756,509,1,0.011699458446278206,0.041371342098423906,0.1016429579015761,0.0045
S2,49,0.23773584899999997,0.294339623,0.241509434,0.11698113199999999,0.071698113,0.037735849,2d,0.09265176,372,265,1,0.016584402419807857,0.04993317026521162,0.13537034973478837,0.3899
S3,58,0.212927757,0.296577947,0.22053231899999998,0.140684411,0.072243346,0.057034220999999996,2d,0.11111111,384,263,1,0.017500182355963654,0.06603362747005938,0.1561885925299406,0.8382
UI,66,0.29761905,0.29047619,0.23888889,0.12380952,0.03888889,0.01031746,2d,0.10757182,1957,1260,1,,,,
W1.1,73,0.5432,0.2488,0.1416,0.0536,0.0104,0.0024,2d,0.05320033,1414,1250,1,0.009202017464583703,0.029497503762956536,0.07690315623704345,0.0
W1.4,80,0.25458715600000004,0.277522936,0.24770642199999998,0.100917431,0.064220183,0.055045872,2d,0.15177479,644,436,1,0.015778476908735555,0.11113212681310927,0.1924174531868907,0.0026
W2.6,87,0.282157676,0.26970954399999997,0.20331950199999999,0.161825726,0.070539419,0.012448133,2d,0.05511811,304,241,1,0.014844893737124778,0.01688019770384444,0.09335602229615556,0.0047
