clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,5,0.126943005,0.224093264,0.28238342,0.199481865,0.109455959,0.057642487,10d,0.36826183,2074,1544,1,0.014804578059365041,0.31290220300801036,0.38917033499198955,0.013
B3,14,0.22330097100000001,0.257820928,0.279395901,0.15426105699999998,0.057173679000000005,0.028047465,10d,0.25412294,1227,927,1,0.018464372054431428,0.43356082839056614,0.528682969609434,0.0
L2.5,23,0.5102173210000001,0.284138826,0.133311709,0.057087253,0.0103795,0.004865391,10d,0.04245684,3534,3083,2,0.011163147963110666,0.7656017833567673,0.8231105106432327,0.0
P2.3,37,0.112541376,0.21993379899999999,0.25891872,0.224347186,0.109599117,0.074659801,10d,0.24830508,3920,2719,2,0.012379589565708811,0.30058746543073905,0.36436288456926097,0.1473
P2.4,46,0.20614035100000003,0.271929825,0.324561404,0.131578947,0.039473684,0.026315789,10d,0.23277803,280,228,2,0.03414692170632202,0.39011353444286573,0.5660268175571344,0.0
S2,53,0.342696629,0.21488764,0.24859550600000002,0.115168539,0.050561798,0.028089887999999997,10d,0.17970339999999999,861,712,1,0.02044741267117316,0.5049152242598349,0.6102533137401649,0.0
S3,63,0.26405868,0.268948655,0.2200489,0.15403423,0.06601467,0.026894866,10d,0.25323276,510,409,2,0.02608090274762951,0.46582738143964686,0.6001872885603531,0.0
UI,70,0.12186898,0.19267823,0.28082852,0.22495183,0.11319846,0.06647399,10d,0.42101823,6408,3010,1,,,,
W1.1,77,0.18997669,0.275058275,0.277389277,0.164335664,0.066433566,0.026806527,10d,0.23513085,2310,1716,2,0.0147175243043852,0.4271251346210715,0.5029447953789286,0.0
W1.4,83,0.121290323,0.209032258,0.300645161,0.198709677,0.130322581,0.04,10d,0.0,1146,775,1,0.01889608497932069,0.2816494915879155,0.3789956704120845,0.4003
W2.6,90,0.14572127099999999,0.22738386300000002,0.23227383899999998,0.221026895,0.11344743300000001,0.060146699000000005,10d,0.31820932,2779,2045,2,0.013638391394121827,0.33797496579375186,0.40823530220624815,0.0
