clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,4,0.21010425,0.26623897399999996,0.22453889300000002,0.165998396,0.087409783,0.045709703,8d,0.215821152,1722,1247,1,0.016782900520814797,0.4331133370399391,0.5195731109600609,0.0126
B3,13,0.208333333,0.22756410300000002,0.243589744,0.166666667,0.108974359,0.044871795,8d,0.201612903,436,312,1,0.029491441496810968,0.35993251678861626,0.5118623552113838,0.9636
L2.5,20,0.44536141100000004,0.31303358,0.153386454,0.060614684,0.018497438999999997,0.009106431,8d,0.040333073,4215,3514,1,0.011566193025430023,0.7286024520745945,0.7881875299254056,0.0
L2.8,29,0.44699646600000004,0.247349823,0.16254417,0.086572438,0.04770318,0.008833922,8d,0.072815534,647,566,1,0.021368135221162068,0.6393056201351355,0.7493869578648646,0.0
P2.3,35,0.20670391100000002,0.244134078,0.227374302,0.17988826800000002,0.096089385,0.045810055999999995,8d,0.206088993,2344,1790,1,0.014830642798210454,0.4126367846899031,0.489039193310097,0.2717
S2,52,0.0,0.0,0.0,0.0,0.0,0.0,8d,0.198052936,0,0,1,,,,
S3,61,0.291316527,0.218487395,0.215686275,0.18767507,0.050420168,0.036414566,8d,0.218867925,470,357,1,0.027957901633148,0.43778913970759975,0.5818187042924003,0.0068
UI,69,0.189701,0.2448505,0.27109635,0.18372093,0.07707641,0.03355482,8d,0.38591994,6408,3010,1,,,,
W1.1,76,0.178514377,0.283146965,0.251597444,0.177715655,0.076677316,0.032348243,8d,0.181910569,3266,2504,1,0.013449410409960037,0.4270179565505693,0.49630472744943066,0.0438
