clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,2,0.427086614,0.29007874,0.168503937,0.085669291,0.02015748,0.008503937,4d,0.06246467,3773,3175,1,0.005952688673059335,0.047131560081030144,0.07779777991896986,0.0
B3,11,0.306220096,0.27887901600000004,0.20984278899999997,0.125768968,0.045796309,0.033492823,4d,0.16028226,1982,1463,1,0.009371234588769681,0.13614355933581604,0.18442096066418398,0.0
L2.5,18,0.5943852860000001,0.257018393,0.11132623400000001,0.028557599,0.006776379,0.001936108,4d,0.01349398,2344,2066,1,0.005058861566473464,0.0004632161344803546,0.026524743865519645,0.0
L2.8,27,0.336547734,0.25168756,0.181292189,0.11186113800000001,0.06268081,0.055930569000000006,4d,0.10760953,1350,1037,1,0.009541806461363501,0.08303146530802764,0.13218759469197233,0.0
P2.3,33,0.37438423600000004,0.295566502,0.21182266,0.08177339900000001,0.027586207,0.008866995,4d,0.04676871,1225,1015,1,0.007503727279748096,0.02744038938698557,0.06609703061301442,0.0
P2.4,42,0.357846854,0.288097043,0.196360879,0.101592115,0.041698256,0.014404852,4d,0.0699187,1555,1319,1,0.007857030577474798,0.049680330399660674,0.09015706960033933,0.0
S2,50,0.380635625,0.299334812,0.171470806,0.09608277900000001,0.03917221,0.013303768999999998,4d,0.0660702,1637,1353,1,0.0075899179245227264,0.0465198669984833,0.08562053300151669,0.0
S3,59,0.298546896,0.261558785,0.20871862600000002,0.138705416,0.059445178,0.033025099,4d,0.11957796,963,757,1,0.011368245558976208,0.09029529995924943,0.14886062004075057,0.0
UI,67,0.16742739,0.29377593,0.28609959,0.16493776,0.06431535,0.02344398,4d,0.218139,8565,4820,1,,,,
W1.1,74,0.281729428,0.278940028,0.234309623,0.135285914,0.052998605,0.016736402,4d,0.10975610000000001,892,717,1,0.011377739937078454,0.0804489840619147,0.13906321593808532,0.0
W1.4,81,0.462068966,0.21149425300000002,0.19080459800000002,0.068965517,0.045977011,0.020689655,4d,0.1035503,521,435,1,0.014074266949913039,0.06729739076444419,0.1398032092355558,0.0
W2.6,88,0.201177625,0.24631992100000002,0.23159960699999999,0.163886163,0.08537782099999999,0.071638862,4d,0.15303244,1488,1019,1,0.010344989142913706,0.12638551382078764,0.17967936617921235,0.0
