,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
2,0.42708661417322835,0.2900787401574803,0.16850393700787403,0.08566929133858267,0.02015748031496063,0.008503937007874015,B2,4d,0.008481314603763583,3773,3175,1
11,0.3062200956937799,0.278879015721121,0.20984278879015722,0.12576896787423103,0.04579630895420369,0.03349282296650718,B3,4d,0.027749747729566093,1982,1463,1
19,0.5943852855759922,0.2570183930300097,0.11132623426911907,0.028557599225556632,0.006776379477250726,0.001936108422071636,L2.5,4d,0.0017064846416382253,2344,2066,1
28,0.3365477338476374,0.25168756027000966,0.18129218900675023,0.11186113789778207,0.0626808100289296,0.055930568948891035,L2.8,4d,0.02,1350,1037,1
34,0.37438423645320196,0.2955665024630542,0.21182266009852216,0.08177339901477833,0.027586206896551724,0.008866995073891626,P2.3,4d,0.0024489795918367346,1225,1015,1
43,0.35784685367702807,0.2880970432145565,0.19636087945413191,0.10159211523881728,0.04169825625473844,0.014404852160727824,P2.4,4d,0.0019292604501607716,1555,1319,1
51,0.38063562453806354,0.29933481152993346,0.1714708056171471,0.09608277900960828,0.03917220990391722,0.013303769401330377,S2,4d,0.002443494196701283,1637,1353,1
60,0.2985468956406869,0.261558784676354,0.20871862615587847,0.13870541611624834,0.059445178335535004,0.03302509907529723,S3,4d,0.01142263759086189,963,757,1
69,0.28172942817294283,0.2789400278940028,0.23430962343096234,0.13528591352859135,0.05299860529986053,0.016736401673640166,W1.1,4d,0.010089686098654708,892,717,1
76,0.46206896551724136,0.21149425287356322,0.19080459770114944,0.06896551724137931,0.04597701149425287,0.020689655172413793,W1.4,4d,0.011516314779270634,521,435,1
83,0.2011776251226693,0.2463199214916585,0.23159960745829244,0.16388616290480865,0.08537782139352307,0.07163886162904809,W2.6,4d,0.02217741935483871,1488,1019,1
