,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
26,0.32172131147540983,0.3094262295081967,0.19467213114754098,0.10450819672131148,0.05122950819672131,0.018442622950819672,L2.8,2d,0.0029585798816568047,676,488,0
27,0.6196078431372549,0.2235294117647059,0.09803921568627451,0.03529411764705882,0.01568627450980392,0.00784313725490196,L2.8,0d,0.010033444816053512,299,255,1
28,0.3365477338476374,0.25168756027000966,0.18129218900675023,0.11186113789778207,0.0626808100289296,0.055930568948891035,L2.8,4d,0.02,1350,1037,1
29,0.4435967302452316,0.3188010899182561,0.14931880108991827,0.05885558583106267,0.019618528610354225,0.009809264305177113,L2.8,6d,0.0013736263736263737,2184,1835,1
30,0.4469964664310954,0.24734982332155478,0.1625441696113074,0.08657243816254417,0.04770318021201413,0.0088339222614841,L2.8,8d,0.00463678516228748,647,566,1
31,0.23190184049079754,0.28588957055214725,0.2331288343558282,0.1423312883435583,0.07730061349693251,0.029447852760736196,L2.8,12d,0.01606805293005671,1058,815,2
